取引日,前日清算価格,始値,高値,安値,終値,当日清算価格,前日比,スワップポイント,取引数量,建玉数量
2005-07-01,110.88,110.76,111.6,110.72,111.6,111.74,0.86,104,26,5
2005-07-04,111.74,,,,,111.63,-0.11,100,,5
2005-07-05,111.63,111.54,112.13,111.54,111.62,111.73,0.1,101,33,18
2005-07-06,111.73,112.21,112.21,112.21,112.21,112.17,0.44,303,10,18
2005-07-07,112.17,111.62,112.01,111.62,112.01,112.09,-0.08,100,24,26
2005-07-08,112.09,112.39,112.45,111.97,111.97,112.18,0.09,100,14,33
2005-07-11,112.18,111.96,112,111.72,111.72,111.81,-0.37,101,36,63
2005-07-12,111.81,111.62,111.62,110.86,110.9,110.84,-0.97,100,41,102
2005-07-13,110.84,111.11,112.15,111.05,111.92,111.87,1.03,405,112,66
2005-07-14,111.87,112.00,112.36,111.81,112.36,112.31,0.44,100,138,71
2005-07-15,112.31,112.28,112.38,111.8,112.25,112.23,-0.08,,379,102
2005-07-18,112.23,112.29,112.29,111.56,111.95,111.95,-0.28,101,129,171
2005-07-19,111.95,112.06,112.98,112.06,112.73,112.7,0.75,102,133,81
2005-07-20,112.7,112.79,113.71,112.55,112.73,112.87,0.17,304,419,211
2005-07-21,112.87,112.82,112.82,109.95,109.95,110.27,-2.6,99,472,398
2005-07-22,110.27,110.43,111.45,110.43,111.45,111.26,0.99,99,192,419
2005-07-25,111.26,111.66,111.96,111.37,111.47,111.5,0.24,101,154,427
2005-07-26,111.5,111.75,112.62,111.72,112.36,112.53,1.03,101,316,325
2005-07-27,112.53,112.48,112.78,112.15,112.19,112.44,-0.09,309,165,409
2005-07-28,112.44,112.47,112.85,112,112.06,112.1,-0.34,101,430,525
2005-07-29,112.1,112.2,112.41,111.94,112.41,112.41,0.31,101,177,551
2005-08-01,112.41,112.62,112.75,111.75,112.23,112.19,-0.22,100,360,665
2005-08-02,112.19,112.35,112.35,111.15,111.28,111.47,-0.72,101,364,821
2005-08-03,111.47,111.44,111.9,110.99,111.09,111.09,-0.38,312,343,859
2005-08-04,111.09,111.22,111.6,110.75,111.29,111.24,0.15,105,478,761
2005-08-05,111.24,111.19,112.2,111.15,112.04,112.04,0.8,108,506,646
2005-08-08,112.04,112.23,112.61,111.55,112.1,112.18,0.14,109,"1,424","1,105"
2005-08-09,112.18,112.19,112.22,111.68,111.96,111.94,-0.24,108,345,"1,147"
2005-08-10,111.94,111.85,111.85,110.43,110.73,110.66,-1.28,321,733,"1,285"
2005-08-11,110.66,110.65,110.65,109.58,109.66,109.69,-0.97,107,487,"1,544"
2005-08-12,109.69,109.67,109.92,109.33,109.4,109.4,-0.29,107,325,"1,696"
2005-08-15,109.4,109.36,109.8,109.23,109.23,109.23,-0.17,105,322,"1,717"
2005-08-16,109.23,109.32,109.65,109.06,109.48,109.53,0.3,105,203,"1,755"
2005-08-17,109.53,109.65,110.05,109.5,109.95,109.95,0.42,317,391,"1,703"
2005-08-18,109.95,109.99,110.65,109.99,110.65,110.55,0.6,105,278,"1,725"
2005-08-19,110.55,110.51,110.84,110.35,110.4,110.4,-0.15,105,141,"1,684"
2005-08-22,110.4,110.5,110.5,109.43,109.68,109.78,-0.62,106,573,"1,829"
2005-08-23,109.78,109.66,110.16,109.65,109.88,109.88,0.1,106,330,"1,842"
2005-08-24,109.88,109.93,110.71,109.93,110.2,110.2,0.32,319,584,"1,770"
2005-08-25,110.2,110.3,110.4,109.77,109.88,110.02,-0.18,106,516,"1,947"
2005-08-26,110.02,110.02,110.35,109.39,110.19,110.17,0.15,107,447,"2,006"
2005-08-29,110.17,110.07,110.71,109.91,110.6,110.6,0.43,109,703,"1,733"
2005-08-30,110.6,110.69,111.59,110.55,111.25,111.25,0.65,109,823,"1,682"
2005-08-31,111.25,111.26,111.75,110.39,110.55,110.61,-0.64,430,"1,058","1,978"
2005-09-01,110.61,110.64,110.9,109.65,109.81,109.81,-0.8,,"1,441","2,504"
2005-09-02,109.81,109.74,110.03,109.21,109.7,109.75,-0.06,104,"1,839","2,707"
2005-09-05,109.75,109.77,109.78,108.8,109.16,109.16,-0.59,103,"1,161","2,925"
2005-09-06,109.16,109.17,109.82,109.17,109.71,109.69,0.53,105,797,"2,923"
2005-09-07,109.69,109.6,110.28,109.41,110.11,110.11,0.42,318,"1,366","2,899"
2005-09-08,110.11,110.05,110.6,110.02,110.5,110.53,0.42,108,"1,249","2,878"
2005-09-09,110.53,110.54,110.72,109.5,109.79,109.83,-0.7,108,"2,345","3,187"
2005-09-12,109.83,109.25,110.36,109.17,110.35,110.35,0.52,106,"1,481","3,113"
2005-09-13,110.35,110.36,111.03,110.17,110.65,110.65,0.3,109,"1,994","2,400"
2005-09-14,110.65,110.68,110.81,109.9,110.37,110.37,-0.28,448,"1,732","2,953"
2005-09-15,110.37,110.31,110.74,110.19,110.66,110.66,0.29,114,"1,260","2,543"
2005-09-16,110.66,110.7,111.47,110.48,111.39,111.37,0.71,,"1,566","2,199"
2005-09-19,111.37,111.53,111.68,111.17,111.48,111.48,0.11,114,"1,811","2,148"
2005-09-20,111.48,111.5,111.98,111.15,111.94,111.94,0.46,459,"1,452","1,924"
2005-09-21,111.94,111.97,112.03,110.97,111.27,111.29,-0.65,113,"1,635","2,627"
2005-09-22,111.29,111.3,111.82,111.05,111.71,111.71,0.42,,"1,815","2,368"
2005-09-23,111.71,111.62,112.43,111.07,112.43,112.39,0.68,115,"2,564","1,792"
2005-09-26,112.39,112.47,112.6,112.12,112.2,112.17,-0.22,115,"2,021","1,788"
2005-09-27,112.17,112.19,113.5,112.19,113.31,113.31,1.14,118,"2,372","1,538"
2005-09-28,113.31,113.24,113.43,112.88,113.09,113.12,-0.19,364,"1,957","1,967"
2005-09-29,113.12,113.05,113.23,112.66,113.02,113.02,-0.1,118,"3,078","2,138"
2005-09-30,113.02,113.11,113.7,112.92,113.61,113.61,0.59,118,"2,860","1,802"
2005-10-03,113.61,113.5,114.37,113.46,114.2,114.2,0.59,117,"4,008","2,231"
2005-10-04,114.2,114.17,114.38,114.04,114.24,114.28,0.08,117,"2,984","2,437"
2005-10-05,114.28,114.31,114.39,113.59,113.98,113.98,-0.3,472,"2,999","3,366"
2005-10-06,113.98,113.87,114.18,113.01,113.31,113.27,-0.71,117,"2,351","4,083"
2005-10-07,113.27,113.27,114.01,113.26,113.81,113.78,0.51,,"4,563","3,546"
2005-10-10,113.78,113.73,114.3,113.58,114.07,114.07,0.29,118,"2,988","3,277"
2005-10-11,114.07,114.11,114.63,113.83,114.51,114.55,0.48,118,"2,956","2,988"
2005-10-12,114.55,114.54,114.77,114.27,114.38,114.38,-0.17,355,"4,857","3,236"
2005-10-13,114.38,114.35,115.1,114.2,114.51,114.54,0.16,119,"5,718","3,453"
2005-10-14,114.54,114.48,114.89,113.86,113.96,113.96,-0.58,119,"5,394","4,928"
2005-10-17,113.96,114.16,114.96,113.78,114.91,114.94,0.98,119,"5,940","2,941"
2005-10-18,114.94,114.94,115.94,114.93,115.67,115.71,0.77,120,"5,839","2,925"
2005-10-19,115.71,115.7,115.98,115.26,115.4,115.4,-0.31,358,"7,424","4,667"
2005-10-20,115.4,115.37,115.76,115.28,115.32,115.32,-0.08,119,"6,217","5,368"
2005-10-21,115.32,115.34,115.97,114.99,115.94,115.97,0.65,120,"11,326","3,423"
2005-10-24,115.97,115.88,115.95,115.07,115.45,115.45,-0.52,120,"6,980","5,799"
2005-10-25,115.45,115.39,115.72,114.6,115.08,115.05,-0.4,121,"9,677","10,466"
2005-10-26,115.05,115.01,115.9,114.92,115.85,115.85,0.8,377,"12,068","5,218"
2005-10-27,115.85,115.89,116.25,114.85,115.44,115.44,-0.41,129,"15,759","9,908"
2005-10-28,115.44,115.45,115.67,115.1,115.6,115.64,0.2,129,"8,280","7,429"
2005-10-31,115.64,115.75,116.46,115.55,116.42,116.4,0.76,260,"9,528","4,484"
2005-11-01,116.4,116.61,116.77,116.42,116.76,116.73,0.33,390,"10,947","5,647"
2005-11-02,116.73,116.63,116.99,116.57,116.82,116.88,0.15,,"5,699","5,022"
2005-11-03,116.88,116.88,117.38,116.8,117.19,117.19,0.31,129,"5,324","4,824"
2005-11-04,117.19,117.28,118.35,117.25,118.26,118.24,1.05,129,"12,238","5,490"
2005-11-07,118.24,118.31,118.39,117.47,117.7,117.7,-0.54,130,"9,876","8,372"
2005-11-08,117.7,117.74,117.98,117.11,117.27,117.27,-0.43,524,"10,627","9,631"
2005-11-09,117.27,117.35,117.73,116.86,117.57,117.57,0.3,,"13,404","9,178"
2005-11-10,117.57,117.58,118.26,117.35,118.24,118.24,0.67,130,"14,939","7,459"
2005-11-11,118.24,118.12,118.2,117.65,117.99,117.99,-0.25,131,"6,730","8,086"
2005-11-14,117.99,118.07,118.9,117.86,118.84,118.84,0.85,131,"11,305","6,468"
2005-11-15,118.84,118.75,119.44,118.7,118.92,118.92,0.08,130,"18,084","9,546"
2005-11-16,118.92,118.94,119.57,118.82,119.2,119.2,0.28,391,"17,395","10,986"
2005-11-17,119.2,119.16,119.28,118.48,118.84,118.84,-0.36,130,"7,722","14,085"
2005-11-18,118.84,118.84,119.4,118.7,119.15,119.18,0.34,392,"14,390","12,512"
2005-11-21,119.18,119.2,119.43,118.55,119.05,119.05,-0.13,,"15,414","15,930"
2005-11-22,119.05,119.04,119.51,118.68,118.75,118.75,-0.3,,"17,435","13,534"
2005-11-23,118.75,118.77,119.04,118.2,118.72,118.72,-0.03,391,"19,186","17,685"
2005-11-24,118.72,118.76,118.96,118.55,118.94,118.94,0.22,130,"9,210","15,253"
2005-11-25,118.94,118.92,119.7,118.92,119.66,119.64,0.7,131,"16,661","8,553"
2005-11-28,119.64,119.71,119.95,118.33,118.95,118.95,-0.69,131,"21,907","20,528"
2005-11-29,118.95,118.93,119.71,118.78,119.65,119.65,0.7,131,"22,247","18,117"
2005-11-30,119.65,119.72,119.83,119.23,119.78,119.78,0.13,395,"20,941","14,145"
2005-12-01,119.78,119.8,120.72,119.68,120.66,120.63,0.85,133,"24,047","10,912"
2005-12-02,120.63,120.53,121.23,120.19,120.54,120.6,-0.03,132,"32,117","14,469"
2005-12-05,120.6,121.16,121.4,120.7,120.86,120.86,0.26,132,"23,188","22,829"
2005-12-06,120.86,120.9,121.25,120.78,120.86,120.86,,133,"9,393","22,962"
2005-12-07,120.86,120.83,121.16,120.58,121.05,121.05,0.19,414,"12,647","21,304"
2005-12-08,121.05,121.09,121.12,119.98,120.32,120.32,-0.73,139,"16,720","25,282"
2005-12-09,120.32,120.38,120.75,120.31,120.62,120.65,0.33,139,"11,622","23,149"
2005-12-12,120.65,120.81,121.05,119.52,119.75,119.75,-0.9,139,"24,033","29,041"
2005-12-13,119.75,119.83,120.45,119.63,119.92,119.92,0.17,140,"15,612","24,971"
2005-12-14,119.92,120.06,120.2,116.72,117.38,117.38,-2.54,412,"73,707","21,667"
2005-12-15,117.38,117.52,117.71,115.82,116.25,116.25,-1.13,136,"38,224","15,966"
2005-12-16,116.25,116.39,116.52,115.6,115.71,115.71,-0.54,134,"20,942","16,707"
2005-12-19,115.71,115.65,116.6,115.52,116.13,116.13,0.42,136,"15,397","16,621"
2005-12-20,116.13,116.23,117.3,115.96,117.26,117.26,1.13,683,"14,383","16,311"
2005-12-21,117.26,117.12,117.54,116.74,117.35,117.35,0.09,,"10,488","16,870"
2005-12-22,117.35,117.65,117.67,116.41,116.74,116.74,-0.61,,"13,667","18,873"
2005-12-23,116.74,116.65,116.87,116.13,116.32,116.32,-0.42,134,"7,617","19,213"
